"","X","PRT_ID","AREA","INT_SQFT","DATE_SALE","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","SALE_COND","PARK_FACIL","DATE_BUILD","BUILDTYPE","UTILITY_AVAIL","STREET","REG_FEE","COMMIS","SALES_PRICE","YEAR_BUILD","YEAR_SOLD"
"25",25,"P00902","TNagar",1972,"13-05-2013",111,2,1,5,"Adj Land","No","14-05-2008","Other","No_Sew_Water","NoAccess",487297,167073,13922760,"2008","2013"
"26",26,"P00293","TNagar",1685,"19-07-2014",105,1,1,4,"Family","No","27-07-1980","Housing","No_Sew_Water","Gravel",352830,176415,12601080,"1980","2014"
"27",27,"P02235","Adyar",1130,"10-11-2011",29,1,1,3,"Family","Yes","17-11-1981","Commercial","ELO","Paved",468417,53533,13383350,"1981","2011"
"28",28,"P04080","Karapakkam",1301,"12-11-2010",59,1,1,3,"Normal Sale","Yes","14-11-2003","Other","No_Sew_Water","Gravel",357283,71457,7939625,"2003","2010"
"29",29,"P02677","Adyar",730,"19-08-2011",185,1,1,2,"Adj Land","Yes","28-08-1972","Housing","ELO","Gravel",265449,53090,8848285,"1972","2011"
"30",30,"P00755","TNagar",1806,"18-08-2013",138,2,1,5,"Family","No","27-08-1978","Housing","No_Sew_Water","Paved",430852,113382,11338200,"1978","2013"
"31",31,"P06980","Anna Nagar",1981,"01-04-2009",173,2,1,5,"Adj Land","No","03-04-2000","Housing","ELO","NoAccess",373300,218831,12872430,"2000","2009"
"32",32,"P02696","Adyar",868,"15-08-2011",15,1,1,3,"Normal Sale","No","17-08-2001","Other","No_Sew_Water","Gravel",325514,72336,9042050,"2001","2011"
"33",33,"P01517","TNagar",1721,"26-03-2012",117,1,1,4,"Adj Land","Yes","31-03-1992","Other","ELO","Paved",416483,223116,14874380,"1992","2012"
"34",34,"P09650","Velachery",1755,"28-04-2006",16,2,1,4,"Adj Land","Yes","03-05-1987","Other","AllPub","Gravel",306671,173780,10222380,"1987","2006"
"35",35,"P05950","Anna Nagar",1709,"22-11-2009",130,1,1,4,"Family","No","24-11-2003","Other","No_Sew_Water","Gravel",452501,90500,12928590,"2003","2009"
"36",36,"P05051","KK Nagar",2114,"09-05-2010",46,3,2,5,"Adj Land","Yes","14-05-1989","Commercial","No_Sew_Water","Gravel",632334,281037,17564820,"1989","2010"
"37",37,"P04978","Karapakkam",1226,"23-05-2010",180,1,1,3,"Normal Sale","No","30-05-1983","Housing","AllPub","Paved",154109,114339,4971250,"1983","2010"
"38",38,"P03704","Velachery",1648,"28-01-2011",111,2,1,4,"Family","Yes","31-01-1998","Other","No_Sew_Water","Paved",275120,82536,9170660,"1998","2011"
"39",39,"P02247","Chromepet",856,"07-11-2011",36,1,1,3,"Adj Land","Yes","13-11-1985","Other","No_Sew_Water","Gravel",332269,103834,10383420,"1985","2011"
"40",40,"P07194","Adyar",904,"24-01-2009",52,1,1,3,"Adj Land","No","03-02-1969","Commercial","ELO","NoAccess",348042,23203,11601400,"1969","2009"
"41",41,"P01107","Chromepet",1198,"21-12-2012",105,1,1,3,"Normal Sale","No","30-12-1976","Other","AllPub","NoAccess",255727,98991,8249260,"1976","2012"
"42",42,"P02442","Karapakkam",931,"03-10-2011",16,1,1,3,"Adj Land","No","07-10-1993","Commercial","AllPub","Paved",291669,166668,6944500,"1993","2011"
"43",43,"P06444","Karapakkam",1290,"18-08-2009",86,1,1,3,"Adj Land","Yes","30-08-1961","Housing","AllPub","Paved",364015,92940,7745000,"1961","2009"
"44",44,"P05298","Karapakkam",507,"23-03-2010",49,1,1,2,"Abnormal","Yes","03-04-1964","Housing","ELO","Gravel",252032,74464,5728000,"1964","2010"
"45",45,"P05882","KK Nagar",2492,"06-12-2009",113,4,2,6,"Abnormal","No","10-12-1993","Commercial","No_Sew_Water","Paved",917550,224706,18725520,"1993","2009"
"46",46,"P02558","Karapakkam",851,"11-09-2011",105,1,1,2,"Partial","No","18-09-1982","Housing","AllPub","NoAccess",167896,39295,3572250,"1982","2011"
"47",47,"P09483","TNagar",1882,"18-11-2006",189,2,1,5,"Abnormal","Yes","23-11-1985","Other","ELO","Gravel",433393,272877,16051580,"1985","2006"
"48",48,"P06006","Anna Nagar",1710,"12-11-2009",15,1,1,4,"Normal Sale","Yes","15-11-1998","Commercial","AllPub","Gravel",808639,161728,20215970,"1998","2009"
"49",49,"P04106","Karapakkam",1412,"06-11-2010",28,2,2,4,"Adj Land","No","13-11-1982","Housing","ELO","Gravel",251370,192717,8379000,"1982","2010"
"50",50,"P09556","Adyar",779,"12-10-2006",51,1,1,2,"Normal Sale","No","14-10-1997","Housing","No_Sew_Water","NoAccess",190463,31744,5290635,"1997","2006"
"51",51,"P00389","TNagar",1655,"21-05-2014",19,1,1,4,"Abnormal","No","29-05-1980","Other","AllPub","Gravel",376468,238430,12548930,"1980","2014"
"52",52,"P05245","Karapakkam",940,"03-04-2010",167,1,1,3,"Adj Land","No","15-04-1961","Housing","AllPub","Paved",263599,64435,5857750,"1961","2010"
"53",53,"P01690","KK Nagar",1667,"26-02-2012",126,2,1,4,"Partial","Yes","27-02-2007","Housing","No_Sew_Water","Paved",364810,268243,10729700,"2007","2012"
"54",54,"P07753","KK Nagar",1926,"12-08-2008",49,3,2,5,"Family","Yes","15-08-1999","Commercial","No_Sew_Water","Paved",816325,153061,17006780,"1999","2008"
"55",55,"P08611","Adyar",718,"23-10-2007",75,1,1,2,"Partial","Yes","30-10-1977","Other","ELO","NoAccess",211662,55701,5570050,"1977","2007"
"56",56,"P01934","Karapakkam",545,"12-01-2012",154,1,1,2,"Partial","No","19-01-1982","Other","ELO","NoAccess",165738,88651,3854375,"1982","2012"
"57",57,"P06326","Karapakkam",1249,"12-09-2009",25,1,1,3,"Adj Land","Yes","21-09-1973","Other","ELO","Gravel",318010,120328,8594875,"1973","2009"
"58",58,"P00865","TNagar",1894,"08-06-2013",187,2,1,5,"Partial","Yes","19-06-1968","Housing","No_Sew_Water","Gravel",406478,162591,13549250,"1968","2013"
"59",59,"P02088","Karapakkam",1469,"12-12-2011",200,2,2,4,"Abnormal","No","13-12-2006","Commercial","No_Sew_Water","NoAccess",284423,132731,9480750,"2006","2011"
"60",60,"P07770","Adyar",916,"08-08-2008",32,1,1,3,"Normal Sale","Yes","15-08-1980","Housing","ELO","NoAccess",228053,23390,5847520,"1980","2008"
"61",61,"P08118","Chromepet",934,"20-04-2008",11,1,1,3,"Adj Land","Yes","26-04-1986","Housing","No_Sew_Water","Paved",310749,58265,9710900,"1986","2008"
"62",62,"P03221","Karapakkam",1691,"02-05-2011",100,2,2,4,"Abnormal","No","09-05-1980","Housing","No_Sew_Water","Gravel",319558,178576,9398750,"1980","2011"
"63",63,"P03273","Karapakkam",1236,"21-04-2011",36,1,1,3,"Normal Sale","No","30-04-1972","Commercial","No_Sew_Water","Paved",334638,114481,8806250,"1972","2011"
"64",64,"P08667","TNagar",1577,"28-09-2007",23,1,1,4,"Partial","Yes","07-10-1971","Other","No_Sew_Water","Paved",302183,193397,12087330,"1971","2007"
"65",65,"P03791","Anna Nagar",1915,"10-01-2011",13,2,1,5,"Partial","Yes","20-01-1970","Other","No_Sew_Water","Gravel",354391,170107,14175620,"1970","2011"
"66",66,"P01247","Anna Nagar",1600,"30-09-2012",154,1,1,4,"Family","Yes","06-10-1991","Housing","ELO","Gravel",309941,166891,11920820,"1991","2012"
"67",67,"P02391","Velachery",1579,"14-10-2011",58,2,1,4,"Abnormal","Yes","20-10-1987","Commercial","ELO","Paved",467766,240565,13364730,"1987","2011"
"68",68,"P07825","Adyar",1260,"21-07-2008",89,2,2,4,"Partial","No","28-07-1983","Other","No_Sew_Water","NoAccess",256150,34615,6922975,"1983","2008"
"69",69,"P05787","Adyar",1021,"22-12-2009",176,1,1,3,"Normal Sale","No","23-12-2004","Commercial","No_Sew_Water","Paved",361868,175098,11673175,"2004","2009"
"70",70,"P02285","KK Nagar",2174,"31-10-2011",48,3,2,5,"Family","Yes","05-11-1988","Other","AllPub","Paved",548929,313674,13069740,"1988","2011"
"71",71,"P05304","Anna Nagar",1589,"22-03-2010",39,1,NA,4,"Partial","No","02-04-1966","Other","AllPub","Gravel",451857,85486,12212350,"1966","2010"
"72",72,"P05309","Adyar",668,"21-03-2010",177,1,1,2,"Abnormal","Yes","22-03-2005","Commercial","No_Sew_Water","Gravel",329074,102836,10283575,"2005","2010"
"73",73,"P09664","Velachery",1724,"09-04-2006",116,2,1,4,"Abnormal","Yes","22-04-1952","Housing","ELO","NoAccess",358259,152260,8956480,"1952","2006"
"74",74,"P02813","Adyar",890,"20-07-2011",116,1,1,3,"Abnormal","Yes","27-07-1981","Housing","No_Sew_Water","Paved",251557,43124,7187350,"1981","2011"
"75",75,"P08933","Adyar",1218,"13-06-2007",51,2,2,4,"Normal Sale","No","20-06-1977","Commercial","AllPub","NoAccess",377246,138323,12574850,"1977","2007"
"76",76,"P03590","Anna Nagar",1792,"21-02-2011",41,1,1,4,"Family","Yes","26-02-1990","Housing","ELO","Gravel",514532,250313,13906270,"1990","2011"
"77",77,"P01725","Karapakkam",1378,"19-02-2012",192,2,2,4,"Adj Land","No","21-02-2003","Other","No_Sew_Water","Gravel",297525,208268,9917500,"2003","2012"
"78",78,"P06570","Karapakkam",898,"22-07-2009",72,1,1,3,"Partial","Yes","29-07-1980","Commercial","No_Sew_Water","Paved",345190,215744,8629750,"1980","2009"
"79",79,"P02686","Anna Nagar",1928,"18-08-2011",148,2,1,5,"Partial","No","20-08-2001","Housing","AllPub","NoAccess",466682,105003,11667050,"2001","2011"
"80",80,"P07789","Chromepet",1233,"02-08-2008",24,2,1,4,"Abnormal","No","11-08-1975","Housing","No_Sew_Water","Gravel",245429,107989,9817150,"1975","2008"
"81",81,"P08836","Velachery",1618,"30-07-2007",100,2,1,4,"Adj Land","Yes","09-08-1967","Other","No_Sew_Water","Paved",370522,92631,9263050,"1967","2007"
"82",82,"P02716","Karapakkam",627,"12-08-2011",49,1,1,2,"Family","No","19-08-1983","Housing","No_Sew_Water","Gravel",223975,92225,6587500,"1983","2011"
"83",83,"P09780","Velachery",1563,"16-08-2005",43,2,1,4,"Family","No","23-08-1977","Housing","No_Sew_Water","Gravel",303780,195987,9799360,"1977","2005"
"84",84,"P06528","Karapakkam",1693,"30-07-2009",187,2,2,4,"Normal Sale","Yes","01-08-2003","Commercial","No_Sew_Water","Gravel",384045,166420,12801500,"2003","2009"
"85",85,"P06989","TNagar",1522,"30-03-2009",85,1,1,4,"Partial","No","10-04-1966","Commercial","AllPub","Gravel",506181,174545,17454510,"1966","2009"
"86",86,"P07824","Adyar",1090,"21-07-2008",171,1,1,3,"Partial","Yes","28-07-1980","Other","No_Sew_Water","Gravel",373632,98324,9832420,"1980","2008"
"87",87,"P00545","Chromepet",1085,"19-01-2014",149,1,1,3,"Abnormal","Yes","21-01-2008","Commercial","No_Sew_Water","Gravel",387815,100545,14363500,"2008","2014"
"88",88,"P06461","TNagar",1687,"13-08-2009",73,1,1,4,"Abnormal","No","16-08-1996","Other","No_Sew_Water","Paved",411733,224582,12476770,"1996","2009"
"89",89,"P07650","Adyar",692,"12-09-2008",62,1,1,2,"Normal Sale","Yes","22-09-1971","Commercial","AllPub","Paved",394491,124576,10381355,"1971","2008"
"90",90,"P07887","TNagar",1518,"03-07-2008",145,1,1,4,"Family","Yes","13-07-1971","Commercial","AllPub","Paved",457606,158402,17600240,"1971","2008"
"91",91,"P08050","Adyar",1025,"10-05-2008",125,1,1,3,"Partial","No","17-05-1983","Commercial","No_Sew_Water","Paved",349916,142153,10934875,"1983","2008"
"92",92,"P04677","KK Nagar",2170,"20-07-2010",121,3,2,5,"Family","Yes","22-07-2002","Housing","No_Sew_Water","Gravel",593864,284560,12372160,"2002","2010"
"93",93,"P03124","Chromepet",969,"23-05-2011",70,1,1,3,"Family","Yes","27-05-1994","Commercial","ELO","NoAccess",337463,146234,11248750,"1994","2011"
"94",94,"P08147","KK Nagar",1546,"09-04-2008",129,2,1,4,"Abnormal","No","16-04-1981","Commercial","AllPub","Gravel",441475,142411,14241140,"1981","2008"
"95",95,"P06097","KK Nagar",1709,"24-10-2009",6,2,1,4,"Abnormal","Yes","29-10-1989","Housing","No_Sew_Water","Paved",467388,233694,10160600,"1989","2009"
"96",96,"P00959","TNagar",1659,"07-04-2013",103,1,1,4,"Adj Land","Yes","12-04-1995","Other","No_Sew_Water","NoAccess",433251,216625,13539080,"1995","2013"
"97",97,"P00057","Chromepet",755,"09-01-2015",8,1,1,2,"Normal Sale","No","17-01-1982","Commercial","ELO","Gravel",289649,42911,10727750,"1982","2015"
"98",98,"P08607","Adyar",1182,"24-10-2007",50,1,1,3,"Normal Sale","Yes","28-10-1990","Housing","AllPub","NoAccess",374948,39468,9867055,"1990","2007"
"99",99,"P01632","Adyar",735,"06-03-2012",67,1,1,2,"Adj Land","No","10-03-1998","Commercial","No_Sew_Water","NoAccess",284361,132702,9478710,"1998","2012"
"100",100,"P00937","Chromepet",1089,"19-04-2013",0,1,1,3,"Normal Sale","Yes","27-04-1981","Housing","ELO","Paved",235305,45251,9050200,"1981","2013"
"101",101,"P09868","Velachery",1534,"04-01-2005",6,2,1,4,"Partial","Yes","18-01-1952","Other","ELO","Paved",284552,63234,7904210,"1952","2005"
"102",102,"P08848","Anna Nagar",1622,"26-07-2007",147,1,1,4,"Family","Yes","27-07-2002","Housing","ELO","Gravel",378840,209015,13063450,"2002","2007"
"103",103,"P07681","KK Nagar",2198,"04-09-2008",71,3,2,5,"Partial","Yes","10-09-1987","Other","No_Sew_Water","Gravel",679249,122265,13584980,"1987","2008"
"104",104,"P00407","Chromepet",1293,"09-05-2014",34,2,1,4,"Normal Sale","No","19-05-1975","Commercial","ELO","NoAccess",419714,157393,13116050,"1975","2014"
"105",105,"P06126","KK Nagar",1641,"17-10-2009",178,2,1,4,"Partial","No","24-10-1980","Other","AllPub","Gravel",460580,190239,10012600,"1980","2009"
"106",106,"P09763","Velachery",1950,"03-09-2005",185,3,2,5,"Adj Land","Yes","13-09-1964","Other","No_Sew_Water","Paved",411601,84741,12105920,"1964","2005"
"107",107,"P02652","Karapakkam",1245,"26-08-2011",106,1,1,3,"Partial","No","02-09-1983","Other","No_Sew_Water","Paved",201653,113123,4918375,"1983","2011"
"108",108,"P06329","Chromepet",905,"12-09-2009",144,1,1,3,"Family","No","20-09-1976","Other","ELO","Gravel",223393,77032,7703200,"1976","2009"
"109",109,"P01701","KK Nagar",1496,"24-02-2012",135,2,1,4,"Family","No","27-02-1998","Housing","No_Sew_Water","Gravel",265641,137105,8569080,"1998","2012"
"110",110,"P09722","Velachery",1892,"22-11-2005",38,3,2,5,"Adj Land","Yes","01-12-1969","Housing","ELO","Gravel",449425,133613,12146620,"1969","2005"
"111",111,"P04743","Velachery",1517,"05-07-2010",40,2,1,4,"Family","No","08-07-1999","Commercial","ELO","Paved",408507,116716,11671620,"1999","2010"
"112",112,"P06768","Adyar",1034,"30-05-2009",73,1,1,3,"Adj Land","Yes","03-06-1993","Other","ELO","Gravel",277702,46284,9256740,"1993","2009"
"113",113,"P06746","Velachery",1755,"06-06-2009",142,2,1,4,"Family","Yes","15-06-1974","Commercial","No_Sew_Water","Gravel",581720,193907,14915900,"1974","2009"
"114",114,"P00934","Anna Nagar",1622,"20-04-2013",79,1,1,4,"Adj Land","Yes","22-04-2006","Housing","No_Sew_Water","Paved",406434,243860,13547790,"2006","2013"
"115",115,"P00899","Chromepet",1092,"13-05-2013",89,1,1,3,"Normal Sale","No","14-05-2009","Other","AllPub","NoAccess",246391,57491,8213040,"2009","2013"
"116",116,"P00566","Chromepet",821,"02-01-2014",34,1,1,3,"Adj Land","No","04-01-2006","Housing","No_Sew_Water","Paved",182600,65736,7304000,"2006","2014"
"117",117,"P07878","KK Nagar",1694,"07-07-2008",72,2,1,4,"Family","No","10-07-1997","Other","No_Sew_Water","Gravel",353291,114300,10390900,"1997","2008"
"118",118,"P05305","Anna Nagar",1809,"22-03-2010",177,2,1,5,"Family","No","28-03-1984","Commercial","AllPub","NoAccess",518585,230482,19206870,"1984","2010"
"119",119,"P02252","Karapakkam",1401,"05-11-2011",20,2,2,4,"Partial","Yes","08-11-1997","Other","AllPub","Gravel",438477,229204,9965375,"1997","2011"
"120",120,"P03571","Karapakkam",1470,"26-02-2011",99,2,2,4,"Abnormal","No","04-03-1986","Other","No_Sew_Water","NoAccess",302694,172968,7207000,"1986","2011"
"121",121,"P00942","Chromepet",798,"15-04-2013",166,1,1,2,"Partial","No","24-04-1976","Commercial","No_Sew_Water","Paved",253975,145129,9070550,"1976","2013"
"122",122,"P08304","Chromepet",764,"21-02-2008",137,1,1,2,"Partial","No","23-02-2000","Housing","ELO","NoAccess",158766,90723,5670200,"2000","2008"
"123",123,"P07597","Chromepet",1135,"25-09-2008",50,1,1,3,"Abnormal","No","01-10-1985","Other","No_Sew_Water","NoAccess",296102,148051,9253200,"1985","2008"
"124",124,"P06565","Karapakkam",939,"23-07-2009",74,1,1,3,"Abnormal","No","02-08-1971","Housing","ELO","NoAccess",214700,38646,4294000,"1971","2009"
"125",125,"P06398","Karapakkam",1586,"27-08-2009",59,2,2,4,"Normal Sale","Yes","03-09-1981","Commercial","No_Sew_Water","Gravel",586956,200424,14316000,"1981","2009"
"126",126,"P09293","TNagar",1973,"29-01-2007",63,2,1,5,"Family","Yes","07-02-1972","Commercial","AllPub","Gravel",885666,116535,23307000,"1972","2007"
"127",127,"P09021","Chromepet",1023,"11-05-2007",44,1,1,3,"Partial","Yes","15-05-1990","Housing","AllPub","Paved",282319,38941,9735150,"1990","2007"
"128",128,"P04325","Chromepet",884,"22-09-2010",75,1,1,3,"Normal Sale","No","23-09-2006","Commercial","No_Sew_Water","NoAccess",283410,45346,11336400,"2006","2010"
"129",129,"P05031","Anna Nagar",1640,"14-05-2010",113,1,1,4,"Adj Land","No","15-05-2005","Commercial","ELO","NoAccess",495645,194718,17701600,"2005","2010"
"130",130,"P08918","Adyar",622,"20-06-2007",60,1,1,2,"Normal Sale","No","25-06-1987","Other","ELO","NoAccess",216906,72302,6572900,"1987","2007"
"131",131,"P05947","Anna Nagar",1880,"23-11-2009",90,2,1,5,"Partial","Yes","27-11-1993","Housing","No_Sew_Water","NoAccess",483229,214768,13423020,"1993","2009"
"132",132,"P05350","KK Nagar",2413,"13-03-2010",166,4,2,6,"Abnormal","No","15-03-2001","Other","No_Sew_Water","Paved",419905,170587,13122040,"2001","2010"
"133",133,"P07092","TNagar",1649,"28-02-2009",169,1,1,4,"Adj Land","No","06-03-1984","Commercial","AllPub","Gravel",681808,113635,18939100,"1984","2009"
"134",134,"P08337","Velachery",1729,"08-02-2008",144,2,1,4,"Partial","Yes","18-02-1967","Commercial","No_Sew_Water","Paved",396911,128036,12803570,"1967","2008"
"135",135,"P00089","TNagar",1942,"20-12-2014",10,2,1,5,"Family","No","29-12-1977","Housing","No_Sew_Water","Gravel",320599,61654,12330740,"1977","2014"
"136",136,"P00403","Chromepet",711,"12-05-2014",116,1,1,2,"Adj Land","Yes","15-05-2002","Other","No_Sew_Water","NoAccess",249558,64402,8050270,"2002","2014"
"137",137,"P00717","Chromepet",885,"19-09-2013",122,1,1,3,"Family","No","27-09-1981","Housing","ELO","NoAccess",237422,107919,7194600,"1981","2013"
"138",138,"P06064","KK Nagar",1688,"30-10-2009",148,2,1,4,"Abnormal","Yes","03-11-1994","Housing","No_Sew_Water","Gravel",547810,285318,11412700,"1994","2009"
"139",139,"P08625","Adyar",1236,"17-10-2007",108,2,2,4,"Family","No","26-10-1970","Commercial","ELO","Gravel",481414,24071,12035355,"1970","2007"
"140",140,"P02917","Karapakkam",926,"29-06-2011",98,1,1,3,"Family","No","04-07-1991","Housing","ELO","Gravel",288834,68770,6877000,"1991","2011"
"141",141,"P06881","KK Nagar",1686,"30-04-2009",57,2,1,4,"Abnormal","No","06-05-1985","Other","No_Sew_Water","Paved",382817,196582,10346400,"1985","2009"
"142",142,"P05823","Karapakkam",1344,"16-12-2009",129,2,2,4,"Adj Land","No","29-12-1959","Commercial","No_Sew_Water","Gravel",453999,259428,10809500,"1959","2009"
"143",143,"P01492","KK Nagar",1437,"02-04-2012",104,2,1,4,"Family","No","08-04-1989","Other","AllPub","Gravel",489629,102006,10200600,"1989","2012"
"144",144,"P06226","Karapakkam",1430,"02-10-2009",17,2,2,4,"Abnormal","Yes","05-10-1999","Other","No_Sew_Water","NoAccess",238887,106172,6635750,"1999","2009"
"145",145,"P07481","Adyar",1081,"26-10-2008",85,1,1,3,"Family","No","03-11-1978","Housing","AllPub","NoAccess",241416,6190,6190150,"1978","2008"
"146",146,"P05518","Karapakkam",1352,"09-02-2010",1,2,2,4,"Normal Sale","Yes","16-02-1983","Housing","ELO","Gravel",240768,123638,6507250,"1983","2010"
"147",147,"P06801","KK Nagar",1986,"19-05-2009",109,3,2,5,"Normal Sale","No","27-05-1979","Housing","AllPub","Gravel",476717,227008,11350400,"1979","2009"
"148",148,"P07373","Anna Nagar",1758,"05-12-2008",164,1,1,4,"Partial","Yes","16-12-1966","Commercial","AllPub","NoAccess",713565,231426,19285540,"1966","2008"
"149",149,"P04399","Karapakkam",607,"08-09-2010",121,1,1,2,"Normal Sale","No","19-09-1964","Other","No_Sew_Water","Gravel",175699,117133,5856625,"1964","2010"
"150",150,"P07490","KK Nagar",2139,"24-10-2008",136,3,2,5,"Normal Sale","Yes","30-10-1987","Other","No_Sew_Water","Paved",424048,249440,12472000,"1987","2008"
"151",151,"P05417","KK Nagar",1488,"28-02-2010",97,2,1,4,"Partial","No","07-03-1983","Other","AllPub","Paved",405211,202606,8441900,"1983","2010"
"152",152,"P09702","Velachery",1645,"27-01-2006",96,2,1,4,"Partial","No","03-02-1980","Housing","No_Sew_Water","NoAccess",250118,75793,7579320,"1980","2006"
"153",153,"P05869","Chromepet",950,"07-12-2009",177,1,1,3,"Normal Sale","Yes","14-12-1983","Other","No_Sew_Water","Gravel",273252,146385,9759000,"1983","2009"
"154",154,"P00534","Chromepet",928,"25-01-2014",90,1,1,3,"Partial","Yes","26-01-2010","Commercial","AllPub","Gravel",409985,62119,12423800,"2010","2014"
"155",155,"P07334","Velachery",1693,"17-12-2008",145,2,1,4,"Normal Sale","Yes","31-12-1955","Commercial","No_Sew_Water","Paved",604335,108470,15495760,"1955","2008"
"156",156,"P08511","Velachery",1873,"02-12-2007",0,3,2,5,"Family","Yes","07-12-1986","Other","ELO","NoAccess",363735,198401,11022270,"1986","2007"
"157",157,"P04112","Adyar",721,"04-11-2010",145,1,1,2,"Partial","No","06-11-2000","Other","No_Sew_Water","Paved",273800,60844,7605550,"2000","2010"
"158",158,"P02262","Karapakkam",1190,"03-11-2011",37,1,1,3,"Family","Yes","10-11-1982","Housing","No_Sew_Water","Gravel",342613,127484,7967750,"1982","2011"
"159",159,"P03305","KK Nagar",1593,"17-04-2011",9,2,1,4,"Partial","No","21-04-1994","Other","AllPub","Paved",402606,223670,8946800,"1994","2011"
"160",160,"P05447","Chromepet",786,"22-02-2010",181,1,1,2,"Abnormal","Yes","25-02-1998","Other","ELO","Gravel",249610,83203,9244820,"1998","2010"
"161",161,"P02126","Chromepet",1195,"06-12-2011",93,1,1,3,"Adj Land","No","10-12-1992","Other","No_Sew_Water","Paved",265183,29465,9821600,"1992","2011"
