"","INT_SQFT","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","REG_FEE","COMMIS","SALES_PRICE","YEAR_BUILD","YEAR_SOLD","AREA_Adyar","AREA_AnnaNagar","AREA_Karapakkam","AREA_KKnagar","AREA_TNagar","AREA_Velachery","SALE_COND_Abnormal","SALE_COND_Family","SALE_COND_NormalSale","SALE_COND_Partial","PARK_FACIL_No","BUILDTYPE_Commercial","BUILDTYPE_Other","UTILITY_AVAIL_AllPub","UTILITY_AVAIL_ELO","STREET_Gravel","STREET_NoAccess"
"35",1709,130,1,1,4,452501,90500,12928590,2003,2009,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
"36",2114,46,3,2,5,632334,281037,17564820,1989,2010,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
"37",1226,180,1,1,3,154109,114339,4971250,1983,2010,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"38",1648,111,2,1,4,275120,82536,9170660,1998,2011,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"39",856,36,1,1,3,332269,103834,10383420,1985,2011,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"40",904,52,1,1,3,348042,23203,11601400,1969,2009,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
"41",1198,105,1,1,3,255727,98991,8249260,1976,2012,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
"42",931,16,1,1,3,291669,166668,6944500,1993,2011,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"43",1290,86,1,1,3,364015,92940,7745000,1961,2009,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"44",507,49,1,1,2,252032,74464,5728000,1964,2010,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"45",2492,113,4,2,6,917550,224706,18725520,1993,2009,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"46",851,105,1,1,2,167896,39295,3572250,1982,2011,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1
"47",1882,189,2,1,5,433393,272877,16051580,1985,2006,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0
"48",1710,15,1,1,4,808639,161728,20215970,1998,2009,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"49",1412,28,2,2,4,251370,192717,8379000,1982,2010,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"50",779,51,1,1,2,190463,31744,5290635,1997,2006,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"51",1655,19,1,1,4,376468,238430,12548930,1980,2014,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0
"52",940,167,1,1,3,263599,64435,5857750,1961,2010,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"53",1667,126,2,1,4,364810,268243,10729700,2007,2012,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"54",1926,49,3,2,5,816325,153061,17006780,1999,2008,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"55",718,75,1,1,2,211662,55701,5570050,1977,2007,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
"56",545,154,1,1,2,165738,88651,3854375,1982,2012,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1
"57",1249,25,1,1,3,318010,120328,8594875,1973,2009,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"58",1894,187,2,1,5,406478,162591,13549250,1968,2013,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"59",1469,200,2,2,4,284423,132731,9480750,2006,2011,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1
"60",916,32,1,1,3,228053,23390,5847520,1980,2008,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"61",934,11,1,1,3,310749,58265,9710900,1986,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",1691,100,2,2,4,319558,178576,9398750,1980,2011,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"63",1236,36,1,1,3,334638,114481,8806250,1972,2011,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"64",1577,23,1,1,4,302183,193397,12087330,1971,2007,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"65",1915,13,2,1,5,354391,170107,14175620,1970,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"66",1600,154,1,1,4,309941,166891,11920820,1991,2012,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"67",1579,58,2,1,4,467766,240565,13364730,1987,2011,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
"68",1260,89,2,2,4,256150,34615,6922975,1983,2008,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
"69",1021,176,1,1,3,361868,175098,11673175,2004,2009,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"70",2174,48,3,2,5,548929,313674,13069740,1988,2011,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0
"71",1589,39,1,NA,4,451857,85486,12212350,1966,2010,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
"72",668,177,1,1,2,329074,102836,10283575,2005,2010,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"73",1724,116,2,1,4,358259,152260,8956480,1952,2006,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"74",890,116,1,1,3,251557,43124,7187350,1981,2011,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"75",1218,51,2,2,4,377246,138323,12574850,1977,2007,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
"76",1792,41,1,1,4,514532,250313,13906270,1990,2011,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"77",1378,192,2,2,4,297525,208268,9917500,2003,2012,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"78",898,72,1,1,3,345190,215744,8629750,1980,2009,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"79",1928,148,2,1,5,466682,105003,11667050,2001,2011,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
"80",1233,24,2,1,4,245429,107989,9817150,1975,2008,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"81",1618,100,2,1,4,370522,92631,9263050,1967,2007,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"82",627,49,1,1,2,223975,92225,6587500,1983,2011,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"83",1563,43,2,1,4,303780,195987,9799360,1977,2005,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"84",1693,187,2,2,4,384045,166420,12801500,2003,2009,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"85",1522,85,1,1,4,506181,174545,17454510,1966,2009,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0
"86",1090,171,1,1,3,373632,98324,9832420,1980,2008,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
"87",1085,149,1,1,3,387815,100545,14363500,2008,2014,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
"88",1687,73,1,1,4,411733,224582,12476770,1996,2009,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
"89",692,62,1,1,2,394491,124576,10381355,1971,2008,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"90",1518,145,1,1,4,457606,158402,17600240,1971,2008,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
"91",1025,125,1,1,3,349916,142153,10934875,1983,2008,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"92",2170,121,3,2,5,593864,284560,12372160,2002,2010,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
"93",969,70,1,1,3,337463,146234,11248750,1994,2011,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
"94",1546,129,2,1,4,441475,142411,14241140,1981,2008,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0
"95",1709,6,2,1,4,467388,233694,10160600,1989,2009,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"96",1659,103,1,1,4,433251,216625,13539080,1995,2013,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"97",755,8,1,1,2,289649,42911,10727750,1982,2015,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0
"98",1182,50,1,1,3,374948,39468,9867055,1990,2007,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"99",735,67,1,1,2,284361,132702,9478710,1998,2012,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
"100",1089,0,1,1,3,235305,45251,9050200,1981,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"101",1534,6,2,1,4,284552,63234,7904210,1952,2005,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
"102",1622,147,1,1,4,378840,209015,13063450,2002,2007,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"103",2198,71,3,2,5,679249,122265,13584980,1987,2008,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"104",1293,34,2,1,4,419714,157393,13116050,1975,2014,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1
"105",1641,178,2,1,4,460580,190239,10012600,1980,2009,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0
"106",1950,185,3,2,5,411601,84741,12105920,1964,2005,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"107",1245,106,1,1,3,201653,113123,4918375,1983,2011,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"108",905,144,1,1,3,223393,77032,7703200,1976,2009,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
"109",1496,135,2,1,4,265641,137105,8569080,1998,2012,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"110",1892,38,3,2,5,449425,133613,12146620,1969,2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
"111",1517,40,2,1,4,408507,116716,11671620,1999,2010,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
"112",1034,73,1,1,3,277702,46284,9256740,1993,2009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
"113",1755,142,2,1,4,581720,193907,14915900,1974,2009,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
"114",1622,79,1,1,4,406434,243860,13547790,2006,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",1092,89,1,1,3,246391,57491,8213040,2009,2013,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
"116",821,34,1,1,3,182600,65736,7304000,2006,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"117",1694,72,2,1,4,353291,114300,10390900,1997,2008,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
"118",1809,177,2,1,5,518585,230482,19206870,1984,2010,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
"119",1401,20,2,2,4,438477,229204,9965375,1997,2011,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0
"120",1470,99,2,2,4,302694,172968,7207000,1986,2011,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"121",798,166,1,1,2,253975,145129,9070550,1976,2013,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"122",764,137,1,1,2,158766,90723,5670200,2000,2008,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
"123",1135,50,1,1,3,296102,148051,9253200,1985,2008,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"124",939,74,1,1,3,214700,38646,4294000,1971,2009,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"125",1586,59,2,2,4,586956,200424,14316000,1981,2009,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"126",1973,63,2,1,5,885666,116535,23307000,1972,2007,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0
"127",1023,44,1,1,3,282319,38941,9735150,1990,2007,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"128",884,75,1,1,3,283410,45346,11336400,2006,2010,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
"129",1640,113,1,1,4,495645,194718,17701600,2005,2010,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
"130",622,60,1,1,2,216906,72302,6572900,1987,2007,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
"131",1880,90,2,1,5,483229,214768,13423020,1993,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"132",2413,166,4,2,6,419905,170587,13122040,2001,2010,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
"133",1649,169,1,1,4,681808,113635,18939100,1984,2009,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
"134",1729,144,2,1,4,396911,128036,12803570,1967,2008,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"135",1942,10,2,1,5,320599,61654,12330740,1977,2014,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
"136",711,116,1,1,2,249558,64402,8050270,2002,2014,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"137",885,122,1,1,3,237422,107919,7194600,1981,2013,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"138",1688,148,2,1,4,547810,285318,11412700,1994,2009,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
"139",1236,108,2,2,4,481414,24071,12035355,1970,2007,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0
"140",926,98,1,1,3,288834,68770,6877000,1991,2011,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0
"141",1686,57,2,1,4,382817,196582,10346400,1985,2009,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
"142",1344,129,2,2,4,453999,259428,10809500,1959,2009,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"143",1437,104,2,1,4,489629,102006,10200600,1989,2012,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0
"144",1430,17,2,2,4,238887,106172,6635750,1999,2009,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"145",1081,85,1,1,3,241416,6190,6190150,1978,2008,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
"146",1352,1,2,2,4,240768,123638,6507250,1983,2010,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
"147",1986,109,3,2,5,476717,227008,11350400,1979,2009,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0
"148",1758,164,1,1,4,713565,231426,19285540,1966,2008,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"149",607,121,1,1,2,175699,117133,5856625,1964,2010,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
"150",2139,136,3,2,5,424048,249440,12472000,1987,2008,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"151",1488,97,2,1,4,405211,202606,8441900,1983,2010,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0
"152",1645,96,2,1,4,250118,75793,7579320,1980,2006,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"153",950,177,1,1,3,273252,146385,9759000,1983,2009,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
"154",928,90,1,1,3,409985,62119,12423800,2010,2014,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"155",1693,145,2,1,4,604335,108470,15495760,1955,2008,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
"156",1873,0,3,2,5,363735,198401,11022270,1986,2007,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1
"157",721,145,1,1,2,273800,60844,7605550,2000,2010,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"158",1190,37,1,1,3,342613,127484,7967750,1982,2011,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"159",1593,9,2,1,4,402606,223670,8946800,1994,2011,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0
"160",786,181,1,1,2,249610,83203,9244820,1998,2010,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
"161",1195,93,1,1,3,265183,29465,9821600,1992,2011,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"162",1824,187,3,2,5,273570,76942,8549060,1976,2009,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"163",1906,81,3,2,5,792637,206086,15852740,2001,2008,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"164",656,20,1,1,2,280244,113849,8757635,2001,2010,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0
"165",727,84,1,1,2,218816,100992,8415990,1991,2007,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
"166",931,37,1,1,3,367617,19871,9935595,1977,2010,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"167",1898,108,3,2,5,581625,332357,16617860,1969,2007,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
"168",1698,15,1,1,4,359949,198593,12412050,1967,2007,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"169",1926,193,2,1,5,633655,203675,22630540,1990,2007,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"170",1481,144,2,2,4,485174,178227,9901500,1972,2010,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"171",1506,122,1,1,4,417996,177648,10449910,1974,2007,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
"172",1020,95,1,1,3,206664,31794,7948600,1990,2014,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"173",889,196,1,1,3,300256,136480,9098680,1987,2008,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0
"174",1015,147,1,1,3,275314,66743,8342850,1977,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"175",1682,78,1,1,4,690507,111974,18662350,1976,2011,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0
"176",869,39,1,1,3,220661,138935,8172630,1995,2013,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
"177",1445,20,2,2,4,216691,87848,5856500,1988,2012,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"178",1919,178,2,1,5,544054,117633,14704160,2001,2014,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"179",1243,141,2,2,4,440895,26721,13360440,1975,2011,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"180",857,158,1,1,2,236556,59139,4928250,1993,2010,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
"181",1055,174,1,1,3,226769,117042,7315125,1962,2010,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"182",1778,94,3,2,5,340948,153976,10998320,2003,2011,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
"183",851,124,1,1,2,181073,39364,3936375,1970,2011,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"184",1021,82,1,1,3,276053,147228,9201770,2004,2008,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
"185",2203,76,3,2,5,572520,339934,17891240,1988,2010,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"186",613,81,1,1,2,195491,66879,5144500,1980,2010,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
"187",738,69,1,1,2,324194,8313,8312670,1989,2007,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
"188",1489,177,2,2,4,384348,200181,8007250,1982,2011,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"189",795,73,1,1,2,254378,127189,8479250,2000,2009,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"190",1909,11,3,2,5,303875,212712,10129160,1979,2012,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
"191",1252,190,2,1,4,265502,47411,9482200,1999,2011,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
"192",1077,144,1,1,3,305249,246169,9846750,1978,2011,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
"193",1524,73,2,1,4,303654,208220,8675820,1981,2008,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
"194",1049,36,1,1,3,328398,133412,10262450,1997,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"195",1780,194,2,1,4,329500,130066,8671050,1953,2008,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0
"196",946,14,1,1,3,368463,111656,11165550,1991,2008,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
"197",906,116,1,1,3,302874,28394,9464800,1976,2008,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"198",2344,71,4,2,6,622046,471247,18849880,1986,2010,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0
"199",929,76,1,1,3,341295,75843,9480425,1994,2009,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"200",1843,158,2,1,5,318884,147177,12264750,1994,2009,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
"201",1918,187,2,1,5,809377,218751,21875050,1974,2009,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
"202",1507,54,2,1,4,636313,243694,13538580,1989,2008,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"203",1499,89,2,1,4,372805,186403,8876320,2005,2011,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
"204",1526,64,2,1,4,518512,327481,13645040,1990,2012,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
"205",1855,82,2,1,5,839848,188966,20996200,1999,2009,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"206",1627,39,2,2,4,308418,99782,9071125,1981,2011,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
"207",1846,28,3,2,5,378554,129790,10815830,1970,2009,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
"208",2019,65,3,2,5,601718,230445,12802500,1994,2010,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"209",1578,153,2,2,4,295508,238313,9532500,1998,2011,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"210",1780,115,2,1,4,453788,173507,13346700,1983,2008,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1
